Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month,Year
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,188,75,113,107,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,NA,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,NA,NA,35,113,NA,113,107,6,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,36,1,35,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,35,35,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,714,594,120,263,451,7,7,NA,NA,7,NA,NA,NA,NA,NA,393,393,NA,58,335,NA,NA,NA,NA,NA,0,0,NA,0,NA,194,194,NA,93,101,120,NA,120,112,8,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,41,11,30,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,22,8,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,36,0,36,19,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,36,19,17,February,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,7,7,0,0,7,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,0,NA,0,0,0,February,2018
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,446,148,298,155,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,148,NA,24,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,298,131,167,February,2018
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,10,1,9,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,9,0,February,2018
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,259,85,174,133,126,5,5,NA,NA,5,NA,NA,NA,NA,NA,80,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,174,133,41,February,2018
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,February,2018
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,2,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0,February,2018
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,22,0,22,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,22,4,18,February,2018
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,February,2018
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,53,53,0,5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,NA,3,41,2,2,NA,2,NA,NA,NA,NA,NA,NA,7,7,NA,NA,7,0,NA,0,0,0,February,2018
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,3,3,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,NA,0,0,0,February,2018
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,34,34,0,5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,3,22,2,2,NA,2,NA,NA,NA,NA,NA,NA,7,7,NA,NA,7,0,NA,0,0,0,February,2018
M12 [Adolscent Health],12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,3,3,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,NA,0,0,0,February,2018
M12 [Adolscent Health],12.1.3.a,"Out of registered, Girls received counselling",TOTAL,50,50,0,2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,NA,NA,41,2,2,NA,2,NA,NA,NA,NA,NA,NA,7,7,NA,NA,7,0,NA,0,0,0,February,2018
M12 [Adolscent Health],12.1.3.b,"Out of registered, Boys received counselling",TOTAL,3,3,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,NA,0,0,0,February,2018
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.1,Number of on-going DOTS patients registered,TOTAL,379,378,1,379,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,378,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,February,2018
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.2,Number of DOTS cases completed successfully,TOTAL,79,79,0,79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.1.1,Outpatient - Diabetes,TOTAL,5075,655,4420,1713,3362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,584,NA,584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,NA,71,0,4420,NA,4420,1058,3362,February,2018
M14 [Patient Services],14.1.2,Outpatient - Hypertension,TOTAL,3227,454,2773,886,2341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,351,NA,351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,103,NA,103,0,2773,NA,2773,432,2341,February,2018
M14 [Patient Services],14.1.3,Outpatient - Stroke (Paralysis),TOTAL,283,0,283,9,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,NA,283,9,274,February,2018
M14 [Patient Services],14.1.4,Outpatient - Acute Heart Diseases,TOTAL,3697,0,3697,14,3683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697,NA,3697,14,3683,February,2018
M14 [Patient Services],14.1.5,Outpatient - Mental illness,TOTAL,1730,0,1730,539,1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1730,NA,1730,539,1191,February,2018
M14 [Patient Services],14.1.6,Outpatient - Epilepsy,TOTAL,447,29,418,5,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,NA,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,NA,418,5,413,February,2018
M14 [Patient Services],14.1.7,Outpatient - Ophthalmic Related,TOTAL,5458,549,4909,4517,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,518,NA,518,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,NA,31,NA,4909,NA,4909,3968,941,February,2018
M14 [Patient Services],14.1.8,Outpatient - Dental,TOTAL,1570,382,1188,503,1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,83,NA,83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299,NA,7,292,1188,NA,1188,413,775,February,2018
M14 [Patient Services],14.1.9,Outpatient - Oncology,TOTAL,5440,0,5440,1631,3809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5440,NA,5440,1631,3809,February,2018
M14 [Patient Services],14.2.1,Allopathic- Outpatient attendance,TOTAL,492515,392963,99552,192903,299612,166847,166847,NA,NA,166847,40266,40266,NA,40266,NA,146958,146958,NA,91393,55565,12125,12125,NA,12125,NA,3513,3513,NA,3513,NA,23254,23254,NA,12807,10447,99552,NA,99552,32799,66753,February,2018
M14 [Patient Services],14.2.2,Ayush - Outpatient attendance,TOTAL,13097,13027,70,13097,0,NA,NA,NA,NA,NA,3824,3824,NA,3824,NA,8284,8284,NA,8284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,919,NA,919,NA,70,NA,70,70,0,February,2018
M14 [Patient Services],14.3.1.a,Inpatient (Male)- Children<18yrs,TOTAL,3272,2479,793,137,3135,2203,2203,NA,NA,2203,NA,NA,NA,NA,NA,276,276,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793,NA,793,137,656,February,2018
M14 [Patient Services],14.3.1.b,Inpatient (Male)- Adults,TOTAL,7339,4399,2940,637,6702,4271,4271,NA,NA,4271,NA,NA,NA,NA,NA,128,128,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2940,NA,2940,637,2303,February,2018
M14 [Patient Services],14.3.2.a,Inpatient (Female)- Children<18yrs,TOTAL,2129,1266,863,115,2014,1062,1062,NA,NA,1062,NA,NA,NA,NA,NA,204,204,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863,NA,863,115,748,February,2018
M14 [Patient Services],14.3.2.b,Inpatient (Female)- Adults,TOTAL,6491,3877,2614,1074,5417,3491,3491,NA,NA,3491,NA,NA,NA,NA,NA,386,386,NA,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614,NA,2614,1074,1540,February,2018
M14 [Patient Services],14.3.3,Number of Left Against Medical Advice (LAMA) cases,TOTAL,90,0,90,7,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,90,7,83,February,2018
M14 [Patient Services],14.4.1,Inpatient - Malaria,TOTAL,1,1,0,0,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.4.2,Inpatient - Dengue,TOTAL,3,2,1,0,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,February,2018
M14 [Patient Services],14.4.3,Inpatient - Typhoid,TOTAL,55,16,39,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,39,30,9,February,2018
M14 [Patient Services],14.4.4,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,520,1,519,64,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,NA,519,64,455,February,2018
M14 [Patient Services],14.4.5,Inpatient - Tuberculosis,TOTAL,30,1,29,8,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,29,8,21,February,2018
M14 [Patient Services],14.4.6,Inpatient - Pyrexia of unknown origin (PUO),TOTAL,70,0,70,46,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,46,24,February,2018
M14 [Patient Services],14.4.7,Inpatient - Diarrhea with dehydration,TOTAL,138,11,127,54,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,127,54,73,February,2018
M14 [Patient Services],14.4.8,Inpatient - Hepatitis,TOTAL,8,0,8,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,1,7,February,2018
M14 [Patient Services],14.5,Patients registered at Emergency Department,TOTAL,11363,4331,7032,1241,10122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4331,4331,NA,NA,4331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7032,NA,7032,1241,5791,February,2018
M14 [Patient Services],14.6.1,"Emergency - Trauma ( accident, injury, poisoning etc)",TOTAL,127,NA,127,57,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,127,57,70,February,2018
M14 [Patient Services],14.6.2,Emergency - Burn,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.6.3,Emergency - Obstetrics complications,TOTAL,7,NA,7,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,4,3,February,2018
M14 [Patient Services],14.6.4,Emergency - Snake Bite,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.6.5,Emergency - Acute Caridiac Emergencies,TOTAL,37,NA,37,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,37,19,18,February,2018
M14 [Patient Services],14.6.7,Emergency - CVA ( Cerebovascular Disease),TOTAL,8,NA,8,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,4,4,February,2018
M14 [Patient Services],14.7,Number of deaths occurring at Emergency Department,TOTAL,12,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,0,12,February,2018
M14 [Patient Services],14.8.1,Operation major (General and spinal anaesthesia),TOTAL,4433,2133,2300,464,3969,1989,1989,NA,NA,1989,NA,NA,NA,NA,NA,144,144,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,2300,464,1836,February,2018
M14 [Patient Services],14.8.2,"Out of Operation major, Gynecology- Hysterectomy surgeries",TOTAL,79,2,77,40,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,77,40,37,February,2018
M14 [Patient Services],14.8.3,"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.",TOTAL,1648,0,1648,NA,1648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648,NA,1648,NA,1648,February,2018
M14 [Patient Services],14.8.4,Operation minor (No or local anaesthesia),TOTAL,8794,8121,673,411,8383,7903,7903,NA,NA,7903,NA,NA,NA,NA,NA,218,218,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,NA,673,411,262,February,2018
M14 [Patient Services],14.8.5,Number of post operative Surgical Site infection,TOTAL,1,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,February,2018
M14 [Patient Services],14.8.6,Number of blood units issued,TOTAL,3428,46,3382,64,3364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3382,NA,3382,64,3318,February,2018
M14 [Patient Services],14.8.7,Number of blood transfusions done,TOTAL,920,0,920,63,857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,NA,920,63,857,February,2018
M14 [Patient Services],14.9.1,Inpatient Deaths - Male,TOTAL,311,211,100,6,305,211,211,NA,NA,211,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,6,94,February,2018
M14 [Patient Services],14.9.2,Inpatient Deaths - Female,TOTAL,168,109,59,2,166,109,109,NA,NA,109,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,59,2,57,February,2018
M14 [Patient Services],14.1,In-Patient Head Count at midnight,TOTAL,64834,40526,24308,1773,63061,37685,37685,NA,NA,37685,NA,NA,NA,NA,NA,2841,2841,NA,NA,2841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24308,NA,24308,1773,22535,February,2018
M14 [Patient Services],14.11,Number of Admission in NBSU ( New Born Stabilisation Unit),TOTAL,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,0,February,2018
M14 [Patient Services],14.12.1,Special Newborn Care Unit (SNCU Admissions) - Inborn Male,TOTAL,50,46,4,4,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,0,February,2018
M14 [Patient Services],14.12.2,Special Newborn Care Unit (SNCU Admissions) - Inborn Female,TOTAL,35,35,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.12.3,Outborn – Male,TOTAL,1,1,0,0,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.12.4,Outborn - Female,TOTAL,6,6,0,0,6,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.12.5,Number of newborns admitted in SNCU - referred by ASHA,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M14 [Patient Services],14.13,Number of deaths occurring at SNCU,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
